ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
3,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10121,"Horses; live, pure-bred breeding animals",1,No Quantity,0,nan,,,1876117.0,,379750646.0,,,6
4,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10129,"Horses; live, other than pure-bred breeding animals",5,Number of items,2606,nan,,,660729.0,,75430137.0,,,0
5,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10130,Asses; live,1,No Quantity,0,nan,,,,,439429.0,,,6
6,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10190,Mules and hinnies; live,5,Number of items,4,nan,,,1752.0,,29623.0,,,0
8,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10221,"Cattle; live, pure-bred breeding animals",1,No Quantity,0,nan,,,47091.0,,288786.0,,,6
9,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10229,"Cattle; live, other than pure-bred breeding animals",5,Number of items,16459,nan,,,1008962.0,,3032683.0,,,0
11,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10310,"Swine; live, pure-bred breeding animals",5,Number of items,168,nan,,,14440.0,,212176.0,,,0
12,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,2606,nan,,,2851.0,,46530.0,,,0
14,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10410,Sheep; live,5,Number of items,245838,nan,,,5883351.0,,28567193.0,,,0
16,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,26670551,nan,,,2316447.0,,156730229.0,,,4
17,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10512,"Poultry; live, turkeys, weighing not more than 185g",5,Number of items,5930113,nan,,,159627.0,,28002807.0,,,0
18,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10513,"Poultry; live, ducks, weighing not more than 185g",5,Number of items,475940,nan,,,26569.0,,4086916.0,,,0
19,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",5,Number of items,114960,nan,,,285174.0,,107456.0,,,0
20,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",5,Number of items,1250,nan,,,25000.0,,33371.0,,,0
22,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10613,"Mammals; live, camels and other camelids (Camelidae)",5,Number of items,20,nan,,,1000.0,,76754.0,,,0
23,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10614,"Mammals; live, rabbits and hares",1,No Quantity,0,nan,,,297601.0,,1110851.0,,,4
24,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,18787,nan,,,12718.0,,3148702.0,,,2
25,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10620,Reptiles; live (including snakes and turtles),5,Number of items,14053,nan,,,9530.0,,93594.0,,,0
26,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10631,"Birds; live, birds of prey",5,Number of items,3033,nan,,,8362.0,,4318832.0,,,0
27,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10632,"Birds; live, Psittaciformes",5,Number of items,174,nan,,,109.0,,32103.0,,,0
